

============================== EXP at 2026-04-30 12:05:04 ==============================
dev | avg_loss: 2.2091064453125 | {'exact_match': 0.0, 'rougeL': 14.9784} | threshold: 0.0
train | epoch   0 | Iter:   1398/  7140 | global iter:    700/  3570 | loss: 0.0244 | ds_loss: -0.0329 | lr: 9.0844e-05 | scale:  2048.0000 | micro time: 0.691 | step time: 1.266
train | epoch   0 | Iter:   1418/  7140 | global iter:    710/  3570 | loss: -0.0228 | ds_loss: -0.0800 | lr: 9.0589e-05 | scale:  2048.0000 | micro time: 0.710 | step time: 1.255
dev | avg_loss: 4.63232421875 | {'exact_match': 3.7, 'rougeL': 22.2735} | threshold: 0.0
train | epoch   1 | Iter:   1438/  7140 | global iter:    720/  3570 | loss: -0.0700 | ds_loss: -0.1269 | lr: 9.0331e-05 | scale:  2048.0000 | micro time: 0.704 | step time: 1.235
train | epoch   1 | Iter:   1458/  7140 | global iter:    730/  3570 | loss: -0.0156 | ds_loss: -0.0709 | lr: 9.0069e-05 | scale:  2048.0000 | micro time: 0.714 | step time: 1.253
train | epoch   1 | Iter:   1478/  7140 | global iter:    740/  3570 | loss: 0.0627 | ds_loss: 0.0056 | lr: 8.9805e-05 | scale:  2048.0000 | micro time: 0.720 | step time: 1.261
train | epoch   1 | Iter:   1498/  7140 | global iter:    750/  3570 | loss: 0.0500 | ds_loss: -0.0046 | lr: 8.9537e-05 | scale:  2048.0000 | micro time: 0.716 | step time: 1.247
train | epoch   1 | Iter:   1518/  7140 | global iter:    760/  3570 | loss: 0.0157 | ds_loss: -0.0398 | lr: 8.9266e-05 | scale:  2048.0000 | micro time: 0.713 | step time: 1.251
train | epoch   1 | Iter:   1538/  7140 | global iter:    770/  3570 | loss: -0.0455 | ds_loss: -0.1027 | lr: 8.8993e-05 | scale:  2048.0000 | micro time: 0.688 | step time: 1.258
train | epoch   1 | Iter:   1558/  7140 | global iter:    780/  3570 | loss: 0.0039 | ds_loss: -0.0518 | lr: 8.8716e-05 | scale:  2048.0000 | micro time: 0.726 | step time: 1.263
train | epoch   1 | Iter:   1578/  7140 | global iter:    790/  3570 | loss: 0.0113 | ds_loss: -0.0470 | lr: 8.8436e-05 | scale:  2048.0000 | micro time: 0.746 | step time: 1.271
train | epoch   1 | Iter:   1598/  7140 | global iter:    800/  3570 | loss: 0.0144 | ds_loss: -0.0426 | lr: 8.8153e-05 | scale:  2048.0000 | micro time: 0.728 | step time: 1.252
