

============================== EXP at 2026-04-30 13:36:45 ==============================


============================== EXP at 2026-04-30 13:37:33 ==============================


============================== EXP at 2026-04-30 13:39:34 ==============================
dev | avg_loss: 2.2266845703125 | {'exact_match': 0.0, 'rougeL': 9.3261} | threshold: 0.0
train | epoch   0 | Iter:   1138/  7140 | global iter:    570/  3570 | loss: -0.2727 | ds_loss: -0.3449 | lr: 4.6932e-04 | scale:  2048.0000 | micro time: 0.696 | step time: 1.427
train | epoch   0 | Iter:   1158/  7140 | global iter:    580/  3570 | loss: -0.2978 | ds_loss: -0.3664 | lr: 4.6825e-04 | scale:  2048.0000 | micro time: 0.712 | step time: 1.425
train | epoch   0 | Iter:   1178/  7140 | global iter:    590/  3570 | loss: -0.3078 | ds_loss: -0.3774 | lr: 4.6717e-04 | scale:  2048.0000 | micro time: 0.722 | step time: 1.429
train | epoch   0 | Iter:   1198/  7140 | global iter:    600/  3570 | loss: -0.2434 | ds_loss: -0.3122 | lr: 4.6607e-04 | scale:  2048.0000 | micro time: 0.685 | step time: 1.434
train | epoch   0 | Iter:   1218/  7140 | global iter:    610/  3570 | loss: -0.3854 | ds_loss: -0.4472 | lr: 4.6496e-04 | scale:  2048.0000 | micro time: 0.719 | step time: 1.413
train | epoch   0 | Iter:   1238/  7140 | global iter:    620/  3570 | loss: -0.2075 | ds_loss: -0.2773 | lr: 4.6383e-04 | scale:  2048.0000 | micro time: 0.710 | step time: 1.424
train | epoch   0 | Iter:   1258/  7140 | global iter:    630/  3570 | loss: -0.2444 | ds_loss: -0.3175 | lr: 4.6268e-04 | scale:  2048.0000 | micro time: 0.763 | step time: 1.456
train | epoch   0 | Iter:   1278/  7140 | global iter:    640/  3570 | loss: -0.2809 | ds_loss: -0.3472 | lr: 4.6151e-04 | scale:  2048.0000 | micro time: 0.736 | step time: 1.432
train | epoch   0 | Iter:   1298/  7140 | global iter:    650/  3570 | loss: -0.2431 | ds_loss: -0.3129 | lr: 4.6033e-04 | scale:  2048.0000 | micro time: 0.773 | step time: 1.475
train | epoch   0 | Iter:   1318/  7140 | global iter:    660/  3570 | loss: -0.2664 | ds_loss: -0.3350 | lr: 4.5913e-04 | scale:  2048.0000 | micro time: 0.715 | step time: 1.463
train | epoch   0 | Iter:   1338/  7140 | global iter:    670/  3570 | loss: -0.2301 | ds_loss: -0.2981 | lr: 4.5792e-04 | scale:  2048.0000 | micro time: 0.704 | step time: 1.441
train | epoch   0 | Iter:   1358/  7140 | global iter:    680/  3570 | loss: -0.2766 | ds_loss: -0.3404 | lr: 4.5669e-04 | scale:  2048.0000 | micro time: 0.702 | step time: 1.404
train | epoch   0 | Iter:   1378/  7140 | global iter:    690/  3570 | loss: -0.2683 | ds_loss: -0.3371 | lr: 4.5545e-04 | scale:  2048.0000 | micro time: 0.698 | step time: 1.420
train | epoch   0 | Iter:   1398/  7140 | global iter:    700/  3570 | loss: -0.2677 | ds_loss: -0.3325 | lr: 4.5419e-04 | scale:  2048.0000 | micro time: 0.836 | step time: 1.426
train | epoch   0 | Iter:   1418/  7140 | global iter:    710/  3570 | loss: -0.2737 | ds_loss: -0.3407 | lr: 4.5291e-04 | scale:  2048.0000 | micro time: 0.975 | step time: 1.916
dev | avg_loss: 2.586669921875 | {'exact_match': 3.8, 'rougeL': 23.6443} | threshold: 0.0
train | epoch   1 | Iter:   1438/  7140 | global iter:    720/  3570 | loss: -0.2588 | ds_loss: -0.3236 | lr: 4.5162e-04 | scale:  2048.0000 | micro time: 0.733 | step time: 1.579
