

============================== EXP at 2026-04-29 10:53:27 ==============================


============================== EXP at 2026-04-29 13:42:13 ==============================
dev | avg_loss: 3.1082763671875 | {'exact_match': 0.0, 'rougeL': 7.2567} | threshold: 0.0
train | epoch   1 | Iter:   1070/  3570 | global iter:   1070/  3570 | loss: 1.2122 | ds_loss: 1.1356 | lr: 3.9733e-05 | scale:  2048.0000 | micro time: 0.881 | step time: 0.882
train | epoch   1 | Iter:   1080/  3570 | global iter:   1080/  3570 | loss: 1.1592 | ds_loss: 1.0857 | lr: 3.9555e-05 | scale:  2048.0000 | micro time: 0.907 | step time: 1.094
train | epoch   1 | Iter:   1090/  3570 | global iter:   1090/  3570 | loss: 1.1908 | ds_loss: 1.1161 | lr: 3.9376e-05 | scale:  2048.0000 | micro time: 0.870 | step time: 1.007
train | epoch   1 | Iter:   1100/  3570 | global iter:   1100/  3570 | loss: 1.2104 | ds_loss: 1.1293 | lr: 3.9195e-05 | scale:  2048.0000 | micro time: 0.908 | step time: 0.898
train | epoch   1 | Iter:   1110/  3570 | global iter:   1110/  3570 | loss: 1.2164 | ds_loss: 1.1367 | lr: 3.9014e-05 | scale:  2048.0000 | micro time: 0.918 | step time: 1.022
train | epoch   1 | Iter:   1120/  3570 | global iter:   1120/  3570 | loss: 1.1800 | ds_loss: 1.1043 | lr: 3.8832e-05 | scale:  2048.0000 | micro time: 0.880 | step time: 0.999
train | epoch   1 | Iter:   1130/  3570 | global iter:   1130/  3570 | loss: 1.1881 | ds_loss: 1.1117 | lr: 3.8648e-05 | scale:  2048.0000 | micro time: 0.879 | step time: 0.998
train | epoch   1 | Iter:   1140/  3570 | global iter:   1140/  3570 | loss: 1.1175 | ds_loss: 1.0391 | lr: 3.8463e-05 | scale:  2048.0000 | micro time: 0.867 | step time: 1.134
train | epoch   1 | Iter:   1150/  3570 | global iter:   1150/  3570 | loss: 1.3038 | ds_loss: 1.2251 | lr: 3.8278e-05 | scale:  2048.0000 | micro time: 0.877 | step time: 0.879
train | epoch   1 | Iter:   1160/  3570 | global iter:   1160/  3570 | loss: 1.2413 | ds_loss: 1.1616 | lr: 3.8091e-05 | scale:  2048.0000 | micro time: 2.089 | step time: 1.020
train | epoch   1 | Iter:   1170/  3570 | global iter:   1170/  3570 | loss: 1.2416 | ds_loss: 1.1648 | lr: 3.7903e-05 | scale:  2048.0000 | micro time: 0.888 | step time: 0.987
train | epoch   1 | Iter:   1180/  3570 | global iter:   1180/  3570 | loss: 1.2172 | ds_loss: 1.1411 | lr: 3.7715e-05 | scale:  2048.0000 | micro time: 0.876 | step time: 0.889
train | epoch   1 | Iter:   1190/  3570 | global iter:   1190/  3570 | loss: 1.1639 | ds_loss: 1.0879 | lr: 3.7525e-05 | scale:  2048.0000 | micro time: 0.879 | step time: 0.993
train | epoch   1 | Iter:   1200/  3570 | global iter:   1200/  3570 | loss: 1.2109 | ds_loss: 1.1343 | lr: 3.7334e-05 | scale:  2048.0000 | micro time: 0.877 | step time: 1.091
train | epoch   1 | Iter:   1210/  3570 | global iter:   1210/  3570 | loss: 1.1908 | ds_loss: 1.1155 | lr: 3.7143e-05 | scale:  2048.0000 | micro time: 0.889 | step time: 1.022
train | epoch   1 | Iter:   1220/  3570 | global iter:   1220/  3570 | loss: 1.1931 | ds_loss: 1.1148 | lr: 3.6950e-05 | scale:  2048.0000 | micro time: 0.889 | step time: 1.020
train | epoch   1 | Iter:   1230/  3570 | global iter:   1230/  3570 | loss: 1.2447 | ds_loss: 1.1664 | lr: 3.6757e-05 | scale:  2048.0000 | micro time: 0.884 | step time: 0.898
train | epoch   1 | Iter:   1240/  3570 | global iter:   1240/  3570 | loss: 1.1884 | ds_loss: 1.1104 | lr: 3.6563e-05 | scale:  2048.0000 | micro time: 0.873 | step time: 1.017
train | epoch   1 | Iter:   1250/  3570 | global iter:   1250/  3570 | loss: 1.2202 | ds_loss: 1.1424 | lr: 3.6367e-05 | scale:  2048.0000 | micro time: 0.922 | step time: 1.019
train | epoch   1 | Iter:   1260/  3570 | global iter:   1260/  3570 | loss: 1.1543 | ds_loss: 1.0783 | lr: 3.6171e-05 | scale:  2048.0000 | micro time: 0.914 | step time: 0.948
train | epoch   1 | Iter:   1270/  3570 | global iter:   1270/  3570 | loss: 1.1327 | ds_loss: 1.0564 | lr: 3.5974e-05 | scale:  2048.0000 | micro time: 0.858 | step time: 1.142
train | epoch   1 | Iter:   1280/  3570 | global iter:   1280/  3570 | loss: 1.1878 | ds_loss: 1.1101 | lr: 3.5776e-05 | scale:  2048.0000 | micro time: 0.922 | step time: 1.019
train | epoch   1 | Iter:   1290/  3570 | global iter:   1290/  3570 | loss: 1.0618 | ds_loss: 0.9846 | lr: 3.5578e-05 | scale:  2048.0000 | micro time: 2.144 | step time: 1.360
train | epoch   1 | Iter:   1300/  3570 | global iter:   1300/  3570 | loss: 1.2776 | ds_loss: 1.2011 | lr: 3.5378e-05 | scale:  2048.0000 | micro time: 0.877 | step time: 0.889
train | epoch   1 | Iter:   1310/  3570 | global iter:   1310/  3570 | loss: 1.1543 | ds_loss: 1.0783 | lr: 3.5178e-05 | scale:  2048.0000 | micro time: 0.886 | step time: 1.145
train | epoch   1 | Iter:   1320/  3570 | global iter:   1320/  3570 | loss: 1.0891 | ds_loss: 1.0147 | lr: 3.4977e-05 | scale:  2048.0000 | micro time: 2.135 | step time: 1.269
train | epoch   1 | Iter:   1330/  3570 | global iter:   1330/  3570 | loss: 1.2811 | ds_loss: 1.2029 | lr: 3.4775e-05 | scale:  2048.0000 | micro time: 0.908 | step time: 0.901
